Library;# Unused Functions;% Unused Functions;# Total Functions;Direct
/lib/x86_64-linux-gnu/libxcb.so.1;666;98,81305637982196%;674;0
/lib/x86_64-linux-gnu/libbsd.so.0;98;91,58878504672897%;107;0
/lib/x86_64-linux-gnu/libm.so.6;1072;97,8102189781022%;1096;1
/lib/x86_64-linux-gnu/libGLX.so.0;38;92,6829268292683%;41;0
/lib/x86_64-linux-gnu/libX11.so.6;1079;91,28595600676819%;1182;1
/lib/x86_64-linux-gnu/libGLdispatch.so.0;15;93,75%;16;0
/lib/x86_64-linux-gnu/libgcc_s.so.1;178;97,8021978021978%;182;1
/lib/x86_64-linux-gnu/libmd.so.0;89;100,0%;89;0
/lib/x86_64-linux-gnu/libXau.so.6;8;100,0%;8;0
/lib/x86_64-linux-gnu/libc.so.6;2781;96,96652719665272%;2868;1
/lib/x86_64-linux-gnu/libGL.so.1;3407;98,18443804034582%;3470;1
/lib/x86_64-linux-gnu/libXdmcp.so.6;42;100,0%;42;0
/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2;21;91,30434782608695%;23;0
/lib/x86_64-linux-gnu/libstdc++.so.6;4436;97,00415482178%;4573;1
